question,answer,table,Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities
"on which date was this film shown at the asian film festival , which was based on this video game series from the company headed by yuji ito ?","june 25 , 2008","[TAB] col: | title | release date | original game publisher | [SEP] | front mission | december 20 , 1994 | squaresoft | [SEP] | front mission series : gun hazard | october 21 , 1995 | squaresoft | [SEP] | forbidden siren | february 9 , 2006 | sony | [SEP] | yakuza : like a dragon | march 3 , 2007 | sega | [SEP] | higurashi no naku koro ni | may 10 , 2008 | 07th expansion | [SEP] | higurashi no naku koro ni chikai | april 18 , 2008 | 07th expansion | [SEP] | onechanbara | april 26 , 2008 | d3 | [SEP] | ace attorney | february 11 , 2012 | capcom | [SEP] | ao oni | july 5 , 2014 | noprops | [SEP] | gekijōban zero ( fatal frame ) | september 26 , 2014 | koei tecmo | [SEP] | ao oni ver2.0 | july 4 , 2015 | noprops | [SEP] | corpse party | august 1 , 2015 | kenix soft | [SEP] | corpse party book of shadows | july 30 , 2016 | kenix soft | [SEP] | house of neko atsume | april 8 , 2017 | hit-point co |",Media and Entertainment,0.926,Culture,0.4944,Warfare and Conflict,0.4216,"yuji ito, june 25 , 2008, asian"
name the record for result of l 17–50,6–6,"[TAB] col: | week | date | opponent | result | record | game site | attendance | [SEP] | 1 | september 4, 1983 | at new england patriots | w 29–23 ot | 1–0 | sullivan stadium | 45526 | [SEP] | 2 | september 11, 1983 | denver broncos | l 10–17 | 1–1 | memorial stadium | 52613 | [SEP] | 3 | september 18, 1983 | at buffalo bills | l 23–28 | 1–2 | rich stadium | 40937 | [SEP] | 4 | september 25, 1983 | chicago bears | w 22–19 | 2–2 | memorial stadium | 34350 | [SEP] | 5 | october 2, 1983 | at cincinnati bengals | w 34–31 | 3–2 | riverfront stadium | 48104 | [SEP] | 6 | october 9, 1983 | new england patriots | w 12–7 | 4–2 | memorial stadium | 35618 | [SEP] | 7 | october 16, 1983 | buffalo bills | l 7–30 | 4–3 | memorial stadium | 38565 | [SEP] | 8 | october 23, 1983 | miami dolphins | l 7–21 | 4–4 | memorial stadium | 32343 | [SEP] | 9 | october 30, 1983 | at philadelphia eagles | w 22–21 | 5–4 | veterans stadium | 59150 | [SEP] | 10 | november 6, 1983 | at new york jets | w 17–14 | 6–4 | shea stadium | 53323 | [SEP] | 11 | november 13, 1983 | pittsburgh steelers | l 13–24 | 6–5 | memorial stadium | 57319 | [SEP] | 12 | november 20, 1983 | at miami dolphins | l 17–50 | 6–6 | miami orange bowl | 54482 | [SEP] | 13 | november 27, 1983 | at cleveland browns | l 23–41 | 6–7 | cleveland stadium | 65812 | [SEP] | 14 | december 4, 1983 | new york jets | l 6–10 | 6–8 | memorial stadium | 35462 | [SEP] | 15 | december 11, 1983 | at denver broncos | l 19–21 | 6–9 | mile high stadium | 74864 |",Art,0.4259,Business and Economic,0.3578,Culture,0.338,"6–6, 17–50"
who is the incumbent candidate in the election of percy priest (d) 90.8% robert m. donihi (r) 9.2%?,percy priest,[TAB] col: | district | incumbent | party | first elected | result | candidates | [SEP] | tennessee 4 | joe l. evins | democratic | 1946 | re-elected | joe l. evins (d) unopposed | [SEP] | tennessee 5 | percy priest | democratic | 1940 | re-elected | percy priest (d) 90.8% robert m. doni | [SEP] | tennessee 6 | james patrick sutton | democratic | 1948 | retired to run for u. s. senate democratic hold | ross bass (d) 99.4% lon brewer (r) | [SEP] | tennessee 7 | tom j. murray | democratic | 1942 | re-elected | tom j. murray (d) unopposed | [SEP] | tennessee 8 | jere cooper | democratic | 1928 | re-elected | jere cooper (d) unopposed |,Political,0.8394,Culture,0.8251,Art,0.6713,"90.8%, 9.2%, robert m. donihi"
what is the latest year that has an n/a mintage and an issue price of $89.95?,2007.0,"[TAB] col: | year | theme | artist | mintage | issue price | [SEP] | 2002 | centre ice coin | r.r. carmichael | 25,000 | n/a | [SEP] | 2004 | elusive loon | n/a | 25,105 | $25.22 | [SEP] | 2004 | sterling silver lucky loonie | r.r. carmichael, rcm staff | 19,941 | $39.95. | [SEP] | 2005 | 40th anniversary of canada's flag | william woodruff | 5,000 | $99.95 | [SEP] | 2006 | baby lullabies | n/a | n/a | $29.95 | [SEP] | 2006 | baby lullabies sterling silver | n/a | n/a | $79.95 | [SEP] | 2006 | gold louis | royal canadian mint engravers | 10,000 | $102.95 | [SEP] | 2006 | medal of bravery | rcm engravers | 5,000 | $109.95 | [SEP] | 2006 | snowflake | n/a | n/a | $34.95 | [SEP] | 2006 | sterling silver lucky loonie | jean-luc grondin | 19,956 | $39.95 | [SEP] | 2007 | building blocks | n/a | n/a | 34.95 | [SEP] | 2007 | gold plated rattle | n/a | n/a | 89.95 | [SEP] | 2007 | rattle | n/a | n/a | 34.95 | [SEP] | 2007 | sterling silver one dollar | robert ralph carmichael | n/a | $89.95 | [SEP] | 2007 | gold louis | royal canadian mint engravers | 10,000 | $104.95 | [SEP] | 2007 | thayendanegea joseph brant | adopted from artwork by laurie mcgraw | 7,500 | 129.95 | [SEP] | 2008 | sterling silver one dollar | robert ralph carmichael | n/a | n/a | [SEP] | 2008 | gold louis | royal canadian mint engravers | 10,000 | $124.95 |",Culture,0.7626,Art,0.5865,Society,0.4691,"89.95, the latest year, 2007.0"
what were the years active where asian cup played as a captain is iran 1976?,1964–1977,[TAB] col: | # | matches as captain | player | asian cup played as a captain | years active | caps(goals) | [SEP] | 1 | 4 (0) | hassan habibi | iran 1968 | 1958–1970 | 31 (0) | [SEP] | 2 | 4 (0) | mostafa arab | thailand 1972 | 1959–1972 | 48 (2) | [SEP] | 3 | 3 (0) | parviz ghelichkhani | iran 1976 | 1964–1977 | 64 (12) | [SEP] | 4 | 5 (0) | nasser hejazi | kuwait 1980 | 1968–1980 | 62 (0) | [SEP] | 5 | 6 (0) | mohammad panjali | singapore 1984 | 1978–1991 | 45 (0) | [SEP] | 6 | 6 (0) | sirous ghayeghran | qatar 1988 | 1986–1992 | 40 (6) | [SEP] | 7 | 3 (0) | sirous ghayeghran | japan 1992 | 1986–1992 | 40 (6) | [SEP] | 8 | 1 (0) | mojtaba moharrami | uae 1996 | 1988–1996 | 37 (5) | [SEP] | 9 | 4 (2) | hamid reza estili | lebanon 2000 | 1990–2000 | 82 (12) | [SEP] | 10 | 6 (3) | ali daei | china 2004 | 1993–2006 | 149 (109) | [SEP] | 11 | 4 (0) | mehdi mahdavikia | asian cup 2007 | 1996–2009 | 111 (13) |,Sports,0.9447,Culture,0.6341,Media and Entertainment,0.3409,"1964–1977, 1976, the years, asian, iran"
what were the highest losses for a byes larger than 2?,none,[TAB] col: | golden rivers | wins | byes | losses | draws | against | [SEP] | wandella | 15 | 2 | 1 | 0 | 813 | [SEP] | moulamein | 14 | 2 | 2 | 0 | 898 | [SEP] | macorna | 13 | 2 | 3 | 0 | 896 | [SEP] | murrabit | 10 | 2 | 6 | 0 | 1031 | [SEP] | nullawil | 8 | 2 | 8 | 0 | 1273 | [SEP] | ultima | 4 | 2 | 12 | 0 | 2237 | [SEP] | hay | 4 | 2 | 12 | 0 | 2213 | [SEP] | quambatook | 4 | 2 | 12 | 0 | 2065 | [SEP] | wakool | 0 | 2 | 16 | 0 | 2638 |,Business and Economic,0.4437,Culture,0.3242,Sports,0.2837,
what genre has the network zee tv?,general,[TAB] col: | network | origin of programming | language | genre | service | [SEP] | colors | india | hindi | general | vision asia | [SEP] | ktv | india | tamil | movies | vision asia | [SEP] | life ok | india | hindi | general | vision asia | [SEP] | mtv india | india | hindi | music | vision asia | [SEP] | ndtv india | india | hindi | news | vision asia | [SEP] | ptc punjabi | india | punjabi | general | vision asia | [SEP] | raj tv | india | tamil | general | vision asia | [SEP] | sab | india | hindi | general | vision asia | [SEP] | set max | india | hindi | movies | vision asia | [SEP] | sony entertainment television asia | india | hindi | general | vision asia | [SEP] | star gold | india | hindi | movies | vision asia | [SEP] | star plus | india | hindi | general | vision asia | [SEP] | times now | india | english | news | vision asia | [SEP] | vijay | india | tamil | general | vision asia | [SEP] | zee tv | india | hindi | general | vision asia | [SEP] | zoom | india | hindi | movies | vision asia |,Media and Entertainment,0.126,Society,0.0191,Culture,0.0177,
which date contained aubrey o'day as the cover model?,3-09,"[TAB] col: | date | cover model | centerfold model | interview subject | 20 questions | pictorials | [SEP] | 1-09 | carmen electra | dasha astafieva | richard branson | marston and cooper hefner | carmen electra | [SEP] | 3-09 | aubrey o'day | jennifer pershing | kenny chesney | flight of the conchords | aubrey o'day | [SEP] | 4-09 | seth rogen , hope dworaczyk | hope dworaczyk | seth rogen | amy smart | international playmates, bettie page | [SEP] | 5-09 | lisa rinna | crystal mccahill | chuck palahniuk | zachary quinto | lisa rinna , women of wall street | [SEP] | 6-09 | america olivo | candice cassidy | shia labeouf | scott boras | america olivo, pmoy - ida ljungq | [SEP] | 9-09 | heidi montag | kimberly phillips | seth macfarlane | diane kruger | heidi montag. michelle more & suzanne stonebarger | [SEP] | 10-09 | kiera gormley , tuuli shipster | lindsey gayle evans | woody harrelson | shawne merriman | girls of the acc | [SEP] | 11-09 | marge simpson or alina puscau | kelley thompson | benicio del toro | tracy morgan | alina puscau , farrah fawcett |",Culture,0.7762,Media and Entertainment,0.6628,Art,0.5493,"o'day, 3-09"
how many points does catcat have with more than 2 draws?,none,"[TAB] col: | draw | language | artist | song | english translation | place | points | [SEP] | 01 | swedish | marie bergman and roger pontare | "" stjärnorna "" | the stars | 13 | 48 | [SEP] | 02 | finnish | catcat | "" bye bye baby "" | – | 22 | 11 | [SEP] | 03 | english | paul harrington and charlie mcgettigan | "" rock 'n' roll kids "" | – | 1 | 226 | [SEP] | 04 | greek | evridiki | "" íme ánthropos ki egó "" | i'm human too | 11 | 51 | [SEP] | 05 | icelandic | sigga | "" nætur "" | nights | 12 | 49 | [SEP] | 06 | english | frances ruffelle | "" we will be free (lonely symphony) "" | – | 10 | 63 | [SEP] | 07 | croatian | tony cetinski | "" nek' ti bude ljubav | you may have all the love | 16 | 27 | [SEP] | 08 | portuguese | sara tavares | "" chamar a música "" | call the music | 8 | 73 | [SEP] | 09 | italian | duilio | "" sto pregando "" | i'm praying | 19 | 15 | [SEP] | 10 | estonian | silvi vrait | "" nagu merelaine "" | like a seawave | 24 | 2 | [SEP] | 11 | romanian | dan bittman | "" dincolo de nori "" | beyond the clouds | 21 | 14 | [SEP] | 12 | english | chris and moira | "" more than love "" | – | 5 | 97 | [SEP] | 13 | dutch | willeke alberti | "" waar is de zon? "" | where is the sun? | 23 | 4 | [SEP] | 14 | german | mekado | "" wir geben 'ne party "" | we're throwing a party | 3 | 128 | [SEP] | 15 | slovak | tublatanka | "" nekonečná pieseň "" | neverending song | 19 | 15 | [SEP] | 16 | lithuanian | ovidijus vyšniauskas | "" lopšinė mylimai "" | lullaby for my beloved | 25 | 0 | [SEP] | 17 | norwegian | elisabeth andreassen and jan werner danielsen | "" duett "" | duet | 6 | 76 | [SEP] | 18 | bosnian | alma and dejan | "" ostani kraj mene "" | stay beside me | 15 | 39 | [SEP] | 19 | greek | kostas bigalis and the sea lovers | "" to trehandiri "" (το τρεχαντήρι) | the trehandiri | 14 | 44 | [SEP] | 20 | german | petra frey | "" für den frieden der welt "" | for the peace of the world | 17 | 19 | [SEP] | 21 | spanish | alejandro abad | "" ella no es ella "" | she's not her | 18 | 17 | [SEP] | 22 | hungarian | friderika bayer | "" kinek mondjam el vétke | whom can i tell my sins? | 4 | 122 | [SEP] | 23 | russian | youddiph | "" vechny strannik "" (вечн | eternal wanderer | 9 | 70 | [SEP] | 24 | polish | edyta górniak | "" to nie ja! "" | that's not me! | 2 | 166 | [SEP] | 25 | french | nina morato | "" je suis un vrai garçon "" | i'm a real boy | 7 | 74 |",Sports,0.3852,Art,0.2823,Culture,0.2449,more than 2
who was the team 2 that played against team 1 atlético la sabana?,cúcuta deportivo,[TAB] col: | team #1 | points | team #2 | 1st leg | 2nd leg | [SEP] | deportivo pasto | 0–6 | deportivo pereira | 1–2 | 0–3 | [SEP] | boyacá chicó | 1–4 | atlético nacional | 2–2 | 1–2 | [SEP] | atlético la sabana | 3–3 ( gd ) | cúcuta deportivo | 1–0 | 0–4 | [SEP] | atlético huila | 3–3 ( gd ) | la equidad | 2–1 | 0–2 | [SEP] | junior | 3–3 (2–4 pk ) | deportivo cali | 1–0 | 2–3 | [SEP] | itagüí ditaires | 4–1 | deportes tolima | 1–0 | 2–2 | [SEP] | atlético bucaramanga | 3–3 (1–2 pk ) | millonarios | 1–2 | 2–1 |,Sports,0.9245,Warfare and Conflict,0.4297,Political,0.1477,1 atlético
"which year in novel has a published as serial of november 1934-april 1935, blue book?",1928~1934,"[TAB] col: | order | published as serial | published as novel | fictional narrator | year in novel | [SEP] | 1 | february–july 1912, all-story | october 1917, mcclurg | john carter | 1866–1876 | [SEP] | 2 | january–may 1913, all-story | september 1918, mcclurg | john carter | 1886 | [SEP] | 3 | december 1913-march 1914, all-story | september 1919, mcclurg | john carter | 1887–1888 | [SEP] | 4 | april 1916, all-story weekly | october 1920, mcclurg | third person | 1888~1898 | [SEP] | 5 | february–march 1922, argosy all-story weekly | november 1922, mcclurg | third person | 1898~1917 | [SEP] | 6 | july 15, 1927, amazing stories annual | march 1928, mcclurg | ulysses paxton | 1917 | [SEP] | 7 | april–september 1930, blue book | may 1931, metropolitan | tan hadron | 1928 | [SEP] | 8 | november 1934-april 1935, blue book | february 1936, burroughs | john carter | 1928~1934 | [SEP] | 9 | january–february 1939, argosy weekly | march 1940, burroughs | vor daj | 1934~1938 | [SEP] | 10 | march–october 1941, amazing stories | march 1948, burroughs | john carter | 1938~1940 | [SEP] | 11 | january 1941, amazing stories | july 1964, canaveral | third person | 1940 | [SEP] | 11 | february 1943, amazing stories | july 1964, canaveral | john carter | 1941–1942 |",Culture,0.7542,Society,0.6004,Warfare and Conflict,0.4013,"1928~1934, november 1934-april 1935"
who started in 2008 with 0 points?,campos racing,[TAB] col: | season | series | team name | races | poles | wins | points | final placing | [SEP] | 2002 | formula renault 2.0 brazil | bassani racing | 3 | 0 | 0 | 0 | nc | [SEP] | 2003 | formula renault 2.0 brazil | pop car racing | 12 | 0 | 0 | 26 | 18th | [SEP] | 2004 | formula renault 2.0 brazil | full time sports | 10 | 1 | 0 | 76 | 9th | [SEP] | 2005 | formula three sudamericana | bassani racing | 18 | 1 | 3 | 72 | 4th | [SEP] | 2005 | formula renault 2.0 brazil | gramacho racing | 3 | 0 | 0 | 44 | 12th | [SEP] | 2006 | formula three sudamericana | bassani racing | 16 | 8 | 1 | 78 | 3rd | [SEP] | 2006 | formula renault 2.0 brazil | bassani racing | 1 | 1 | 1 | 32 | 16th | [SEP] | 2006 | euroseries 3000 | minardi team | 2 | 0 | 0 | 6 | 15th | [SEP] | 2007 | euroseries 3000 | team minardi by gp racing | 16 | 1 | 4 | 77 | 2nd | [SEP] | 2008 | gp2 series | david price racing | 20 | 0 | 0 | 3 | 22nd | [SEP] | 2008 | gp2 asia series | campos racing | 1 | 0 | 0 | 0 | 19th | [SEP] | 2008 | gp2 asia series | david price racing | 8 | 0 | 0 | 2 | 19th | [SEP] | 2008–09 | gp2 asia series | piquet gp | 11 | 0 | 2 | 24 | 8th | [SEP] | 2009 | gp2 series | isport international | 20 | 0 | 0 | 8 | 20th | [SEP] | 2009–10 | gp2 asia series | malaysiaqi-meritus.com | 2 | 0 | 0 | 0 | 28th | [SEP] | 2010 | copa caixa stock car | rc3 bassani racing | 12 | 0 | 1 | 43 | 15th |,Sports,0.9771,Culture,0.0025,Political,0.0012,2008
what is the race date for the course jaén to córdoba?,1 september,[TAB] col: | date | course | distance | type | winner | [SEP] | 30 august | granada | km (mi) | team time trial | liquigas | [SEP] | 31 august | granada to jaén | km (mi) | flat stage | alejandro valverde ( esp ) | [SEP] | 1 september | jaén to córdoba | km (mi) | flat stage | tom boonen ( bel ) | [SEP] | 2 september | córdoba to puertollano | km (mi) | flat stage | daniele bennati ( ita ) | [SEP] | 3 september | ciudad real | km (mi) | individual time trial | levi leipheimer ( usa ) | [SEP] | 4 september | ciudad real to toledo | km (mi) | flat stage | paolo bettini ( ita ) | [SEP] | 5 september | rest day | rest day | rest day | rest day | [SEP] | 6 september | barbastro to naturlandia-la rabass | km (mi) | mountain stage | alessandro ballan ( ita ) | [SEP] | 7 september | escaldes-engordany (andorra) | km (mi) | mountain stage | david moncoutié ( fra ) | [SEP] | 8 september | vielha e mijaran to sabiñánigo | km (mi) | intermediate stage | greg van avermaet ( bel ) | [SEP] | 9 september | sabiñánigo to zaragoza | km (mi) | flat stage | sébastien hinault ( fra ) | [SEP] | 10 september | calahorra to burgos | km (mi) | flat stage | óscar freire ( esp ) | [SEP] | 11 september | burgos to suances | km (mi) | intermediate stage | paolo bettini ( ita ) | [SEP] | 12 september | rest day | rest day | rest day | rest day | [SEP] | 13 september | san vicente de la barquera to alto de el an | km (mi) | mountain stage | alberto contador ( esp ) | [SEP] | 14 september | oviedo to fuentes de invierno | km (mi) | mountain stage | alberto contador ( esp ) | [SEP] | 15 september | cudillero to ponferrada | km (mi) | mountain stage | david garcía ( esp ) | [SEP] | 16 september | ponferrada to zamora | km (mi) | flat stage | tom boonen ( bel ) | [SEP] | 17 september | zamora to valladolid | km (mi) | flat stage | wouter weylandt ( bel ) | [SEP] | 18 september | valladolid to las rozas | km (mi) | flat stage | imanol erviti ( esp ) | [SEP] | 19 september | las rozas to segovia | km (mi) | mountain stage | david arroyo ( esp ) | [SEP] | 20 september | la granja de san ildefonso to alto de | km (mi) | individual time trial | levi leipheimer ( usa ) | [SEP] | 21 september | san sebastián de los reyes to madrid | km (mi) | flat stage | matti breschel ( den ) | [SEP] | total | total | km (mi) | km (mi) | km (mi) |,Sports,0.9789,Business and Economic,0.1378,Political,0.1173,1 september
where did geelong play as the away team?,junction oval,"[TAB] col: | home team | home team score | away team | away team score | venue | crowd | date | [SEP] | north melbourne | 14.16 (100) | south melbourne | 9.20 (74) | arden street oval | 10,000 | 6 august 1960 | [SEP] | fitzroy | 13.13 (91) | richmond | 10.11 (71) | brunswick street oval | 14,232 | 6 august 1960 | [SEP] | essendon | 14.11 (95) | footscray | 8.10 (58) | windy hill | 21,000 | 6 august 1960 | [SEP] | st kilda | 9.16 (70) | geelong | 13.9 (87) | junction oval | 16,300 | 6 august 1960 | [SEP] | melbourne | 16.15 (111) | collingwood | 9.11 (65) | mcg | 81,099 | 6 august 1960 | [SEP] | hawthorn | 13.10 (88) | carlton | 9.7 (61) | glenferrie oval | 16,000 | 6 august 1960 |",Sports,0.977,Culture,0.1511,Media and Entertainment,0.0205,
"what is the position of the person with a birthplace of phoenix, new york?",g,"[TAB] col: | position | name | birthdate | birthplace | team | [SEP] | g | raymond bonney | 2 april 1892 | phoenix, new york | st. paul a.c. | [SEP] | g | cyril weidenborner | 30 march 1895 | saint paul, minnesota | st. paul a.c. | [SEP] | d | edward fitzgerald | 3 august 1890 | northfield, minnesota | st. paul a.c. | [SEP] | d | moose goheen | 9 february 1894 | white bear lake, minnesota | st. paul a.c. | [SEP] | d | leon tuck | 25 may 1891 | melrose, massachusetts | boston aa | [SEP] | rover | herbert drury | 2 march 1896 | midland, ontario | pittsburgh aa | [SEP] | f | frank synott | 28 december 1891 | chatham, new brunswick | boston aa | [SEP] | lw | anthony conroy | 19 october 1895 | saint paul, minnesota | st. paul a.c. | [SEP] | c | george geran | 3 august 1896 | holyoke, massachusetts | boston aa | [SEP] | c | lawrence mccormick | 12 july 1890 | buckingham, quebec | pittsburgh aa | [SEP] | rw | joseph mccormick | 12 august 1894 | buckingham, quebec | pittsburgh aa |",Culture,0.6601,Political,0.5084,Business and Economic,0.4156,"new york, phoenix"
what is the total change in aircraft landings from 2012 to 2013?,4000,"[TAB] col: | year | total\npassengers | passenger\nchange | domestic | international\n(total) | international\n(non-cis) | cis | aircraft\nlandings | cargo\n(tonnes) | [SEP] | 2000 | 930 251 | +2% | 698 957 | 231 294 | 155 898 | 75 396 | 8 619 | 18 344 | [SEP] | 2001 | 1 028 295 | +10,5% | 733 022 | 295 273 | 186 861 | 108 412 | 9 062 | 22 178 | [SEP] | 2002 | 1 182 815 | +15,0% | 793 295 | 389 520 | 239 461 | 150 059 | 10 162 | 20 153 | [SEP] | 2003 | 1 335 757 | +12,9% | 879 665 | 456 092 | 297 421 | 158 671 | 10 092 | 18 054 | [SEP] | 2004 | 1 553 628 | +16,3% | 972 287 | 581 341 | 429 049 | 152 292 | 11 816 | 20 457 | [SEP] | 2005 | 1 566 792 | +0,8% | 1 006 422 | 560 370 | 429 790 | 130 580 | 11 877 | 11 545 | [SEP] | 2006 | 1 764 948 | +12,7% | 1 128 489 | 636 459 | 488 954 | 147 505 | 13 289 | 15 519 | [SEP] | 2007 | 2 345 097 | +32,9% | 1 486 888 | 858 209 | 683 092 | 175 117 | 16 767 | 16 965 | [SEP] | 2008 | 2 529 395 | +7,8% | 1 523 102 | 1 006 293 | 815 124 | 191 169 | 16 407 | 17 142 | [SEP] | 2009 | 2 169 136 | −14,2% | 1 290 639 | 878 497 | 727 718 | 150 779 | 13 798 | 13 585 | [SEP] | 2010 | 2 748 919 | +26,7% | 1 529 245 | 1 219 674 | 1 017 509 | 202 165 | 15 989 | 22 946 | [SEP] | 2011 | 3 355 883 | +22,1% | 1 856 948 | 1 498 935 | 1 184 771 | 314 164 | 20 142 | 24 890 | [SEP] | 2012 | 3 783 069 | +12.7% | 1 934 016 | 1 849 053 | 1 448 765 | 439 668 | 21 728 | 25 866 | [SEP] | 2013 | 4 293 002 | +13.5% | 2 180 227 | 2 112 775 |  |  | 25 728 | 27 800 |",Business and Economic,0.2456,Society,0.209,Science and Technology,0.0653,"2012, 4000"
hoe many matches have no score listed?,10,[TAB] col: | match | date | venue | opponents | score | [SEP] | gl-a-1 | 2006.. | [[]] | [[]] | - | [SEP] | gl-a-2 | 2006.. | [[]] | [[]] | - | [SEP] | gl-a-3 | 2006.. | [[]] | [[]] | - | [SEP] | gl-a-4 | 2006.. | [[]] | [[]] | - | [SEP] | gl-a-5 | 2006.. | [[]] | [[]] | - | [SEP] | gl-a-6 | 2006.. | [[]] | [[]] | - | [SEP] | quarterfinals-1 | 2006.. | [[]] | [[]] | - | [SEP] | quarterfinals-2 | 2006.. | [[]] | [[]] | - | [SEP] | semifinals-1 | 2006.. | [[]] | [[]] | - | [SEP] | semifinals-2 | 2006.. | [[]] | [[]] | - |,Sports,0.8609,Warfare and Conflict,0.2046,Society,0.1708,
how many friendly matches has china played in the us?,2,[TAB] col: | date | venue | opponent | result | scoreline | china scorers | [SEP] | january 10 | dubai | united arab emirates | drawn | 0-0 | — | [SEP] | january 20 | zhongshan | lebanon | drawn | 0-0 | — | [SEP] | january 27 | zhongshan | syria | won | 2-1 | qu bo 64'\nzhu ting 90' | [SEP] | march 15 | kunming | thailand | drawn | 3-3 | qu bo 34'\nhan peng 67'\n | [SEP] | april 16 | seattle | mexico | lost | 0-1 | — | [SEP] | april 23 | los angeles | el salvador | drawn | 2-2 | xiao zhanbo 62' pen\n | [SEP] | may 25 | kunshan | jordan | won | 2-0 | hao junmin 23' pen\nli weifeng 48 | [SEP] | dec 17 | muscat | oman | lost | 1-3 | qu bo 58' | [SEP] | dec 19 | muscat | iran | lost | 0-2 |  | [SEP] | dec 21 | amman | jordan | won | 1-0 | cao yang 77' |,Sports,0.9274,Culture,0.4673,Media and Entertainment,0.0626,china
"how many times was attendance below 50,000?",2,"[TAB] col: | week | date | result | record | opponent | points for | points against | first downs | attendance | [SEP] | 1 | september 18 | win | 1–0 | at minnesota vikings | 16 | 10 | 16 | 47,678 | [SEP] | 2 | september 25 | win | 2–0 | new york giants | 41 | 21 | 25 | 64,215 | [SEP] | 3 | october 2 | win | 3–0 | tampa bay buccaneers | 23 | 7 | 23 | 55,316 | [SEP] | 4 | october 9 | win | 4–0 | at st. louis cardinals | 30 | 24 | 22 | 50,129 | [SEP] | 5 | october 16 | win | 5–0 | washington redskins | 34 | 16 | 23 | 62,115 | [SEP] | 6 | october 23 | win | 6–0 | at philadelphia eagles | 16 | 10 | 17 | 65,507 | [SEP] | 7 | october 30 | win | 7–0 | detroit lions | 37 | 0 | 20 | 63,160 | [SEP] | 8 | november 6 | win | 8–0 | at new york giants | 24 | 10 | 13 | 74,532 | [SEP] | 9 | november 14 | loss | 8–1 | st. louis cardinals | 17 | 24 | 16 | 64,038 | [SEP] | 10 | november 20 | loss | 8–2 | at pittsburgh steelers | 13 | 28 | 20 | 49,761 | [SEP] | 11 | november 27 | win | 9–2 | at washington redskins | 14 | 7 | 19 | 55,031 | [SEP] | 12 | december 4 | win | 10–2 | philadelphia eagles | 24 | 14 | 19 | 60,289 | [SEP] | 13 | december 12 | win | 11–2 | at san francisco 49ers | 42 | 35 | 24 | 55,851 | [SEP] | 14 | december 18 | win | 12–2 | denver broncos | 14 | 6 | 15 | 63,752 |",Sports,0.8322,Education,0.6583,Culture,0.6167,"50,000"
what was the last stadium opened?,allianz riviera,"[TAB] col: | # | stadium | capacity | city | region | home team | opened | [SEP] | 1 | stade de france | 81,338 | paris | île-de-france | france national football team | 1998 | [SEP] | 2 | stade vélodrome | 60,013 | marseille | provence-alpes-côte d'azur | olympique de marseille | 1937 | [SEP] | 3 | grand stade lille métropole | 50,186 | villeneuve-d'ascq | nord-pas-de-calais | lille osc | 2012 | [SEP] | 4 | parc des princes | 48,712 | paris | île-de-france | paris saint-germain fc | 1897 | [SEP] | 5 | stade félix bollaert | 41,233 | lens | nord-pas-de-calais | rc lens | 1932 | [SEP] | 6 | stade gerland | 41,044 | lyon | rhône-alpes | olympique lyonnais | 1926 | [SEP] | 7 | stade de la beaujoire | 38,285 | nantes | pays de la loire | fc nantes atlantique | 1984 | [SEP] | 8 | stade geoffroy-guichard | 37,587 | saint-étienne | rhône-alpes | as saint-étienne | 1931 | [SEP] | 9 | allianz riviera | 35,624 | nice | provence-alpes-côte d'azur | ogc nice | 2013 | [SEP] | 10 | stadium municipal | 35,575 | toulouse | midi-pyrénées | toulouse fc | 1937 | [SEP] | 11 | stade chaban-delmas | 34,462 | bordeaux | aquitaine | fc girondins de bordeaux | 1938 | [SEP] | 12 | stade de la mosson | 32,939 | montpellier | languedoc-roussillon | montpellier hsc | 1972 | [SEP] | 13 | stade de la route de lorient | 31,127 | rennes | brittany | stade rennais fc | 1912 | [SEP] | 14 | stade de la meinau | 29,230 | strasbourg | alsace | rc strasbourg | 1914 | [SEP] | 15 | stade municipal saint-symphorien | 26,700 | metz | lorraine | fc metz | 1923 | [SEP] | 16 | grand stade du havre | 25,178 | le havre | upper normandy | le havre ac | 2012 | [SEP] | 17 | mmarena | 25,000 | le mans | pays de la loire | le mans uc | 2011 | [SEP] | 18 | stade du hainaut | 24,926 | valenciennes | nord-pas-de-calais | valenciennes fc | 2011 | [SEP] | 19 | stade de l'abbé-deschamps | 23,467 | auxerre | bourgogne | aj auxerre | 1918 | [SEP] | 20 | stade louis dugauguez | 23,189 | sedan | champagne-ardenne | club sportif sedan ardennes | 2000 | [SEP] | 21 | stade auguste-delaune | 21,684 | reims | champagne-ardenne | stade reims | 1935 | [SEP] | 22 | stade michel d'ornano | 21,500 | caen | lower normandy | stade malherbe caen | 1993 | [SEP] | 23 | stade de l'aube | 20,400 | troyes | champagne-ardenne | troyes ac | 1956 | [SEP] | 24 | stade marcel picot | 20,087 | tomblaine | lorraine | as nancy | 1926 | [SEP] | 25 | stade des alpes | 20,068 | grenoble | rhône-alpes | grenoble foot 38 | 2008 | [SEP] | 26 | stade auguste bonal | 20,025 | montbéliard | franche-comté | fc sochaux-montbéliard | 2000 | [SEP] | 27 | stade sébastien charléty | 20,000 | paris | île-de-france | paris fc | 1938 |",Sports,0.9797,Business and Economic,0.552,Media and Entertainment,0.5332,
