question,answer
how many percentage points increase in the probability of saving in an resp account was associated with a 100 point increase in the literacy score?,0.049
what percent of the overall gap in resp participation can explain the differences in literacy?,5.5
"in lisa, how many percentage points of the resp gap has changed from 45.1 percentage points when immigrants were removed from the sample?",0.467
what is the most popular type of renter households in social and affordable housing?,one-person household
what percent of renters that were not in social and affordable housing were living in a household of two or more persons?,58.3
what percent of canadian renter households in social and affordable housing were lone-parent households?,17.7
what percent of lone-parent households was for owner?,7.0
what percent of renter households in social and affordable housing were living in apartments?,74
which type of renter household in social and affordable housing has more renters? low-rise apartments or high-rise apartments ?,low-rise apartment
which type of renter household not in social and affordable housing has more renters? low-rise apartments or high-rise apartments ?,low-rise apartment
what type of households is the most common households for owners?,"<single-detached house>, <semi-detached>"
which type of people were more likely to live in apartments? renters or owners?,renter
what percent of renters not in social and affordable housing needed adaptations.,6.2
what percent of reference persons of households in social and affordable housing reported being satisfied with their life.,70.0
what percent of reference persons of households living in social and affordable housing reported having experienced homelessness in the past.,13.0
"what percent of reference persons living in social and affordable housing reported being in excellent, very good or good general health?",64.0
what percent of owners reported being satisfied with their life?,87.9
what percent of reference persons of households living in social and affordable housing reported having experienced homelessness in the past?,13.0
what percent of reference persons of renter households not in social and affordable housing have been homeless?,3.8
which group of people has a higher proportion of residents among renters in social and affordable housing? women or men?,female
what percent of renters in social and affordable housing were married?,13.7
what percent of renters not in social and affordable housing were married?,24.0
which type of renter has a higher proportion of seniors (65 years and older) ? renters in social and affordable housing or other renters?,in social and affordable housing
"for renters not in social and affordable housing, what is the proportion of visible minority population?",32.0
"how many percent of renters in social and affordable housing was represented by indigenous peoples (first nations people living off reserve, metis and inuit)?",9.4
what percent of renters in social and affordable housing reported working at a job or being self-employed during the last 12 months?,24.0
what is the proportion for owners reported working at a job or being self-employed during the last 12 months?,55.0
what percent of renters not living in social and affordable housing reported a long-term illness or disability.,4.8
"of professional degree holders, how many percent was held at least one certification or license?",86.8
"of professional degree holders, how many percent of all master's degree holders?",48.1
"for bachelor's and doctorate degree holders, what was the certification and licensure prevalence rates?",29.9
what was the result did fraser complete his 200 m backstroke event with a time of?,2:01.17
how many yards did larry fitzgerald score in 2009?,159.0
how many touchdowns did larry fitzgerald score in 2009?,2.0
"which revenue class did the largest shares of profits make by businesses for nearly all csd type, employer status and industry combinations?","over $1,000,000"
"which revenue class did the largest shares of profits make by businesses for nearly all csd type, employer status and industry combinations?","over $1,000,000"
"among engineering and computer science graduates aged 25 to 64 in 2016, how many percent of them were immigrants?",61.1
"in 2016, what percent of the university-educated stem graduates in canada were immigrants.",53.6
what percent of bachelor's degree holders in stem fields were immigrants?,48.5
"among master's and doctoral stem graduates, what percent of them were immigrants?","<64>, <63.7>"
"what percent of stem bachelor's degree holders were educated in canada, the united states, the united kingdom or france?",22.5
"what percent of master's degree holders were educated in canada, the united states, the united kingdom or france?",39.3
"what percent of doctorate were educated in canada, the united states, the united kingdom, or france?",62.4
"among all degree level, which degree holders did the worse job?",bachelor's degree
what is the gap of engineers with a bachelor's degree that fared the worst overall?,-43.4
what is the gap for immigrant engineers with a doctorate?,-24.1
which field of study can find the greatest gap between the immigrant-canadian-born earnings?,engineering
"within the college-educated population, how many percent of employed individuals which were more likely to hold a currently active certification or license?",42.8
"within the college-educated population, how many percent of unemployed individuals were less likely to hold a currently active certification or license?",23.7
"within the college-educated population, how many percent of not in the labor force individuals were less likely to hold a currently active certification or license?",23.7
how many percent of the specific occupations in which college-educated workers had the highest certification or license prevalence rates were legal occupations.,93.5
how many percent of the specific occupations in which college-educated workers had the highest certification or license prevalence rates were science and engineering pre-college teachers?,90.7
how many percent of the specific occupations in which college-educated workers had the highest certification or license prevalence rates were health occupations?,88.5
how many percent of the specific occupations in which college-educated workers had the highest certification or license prevalence rates were other education-related occupations?,83.5
"which album did yothu yindi do ""djapana (sunset dreaming)"" in 1992?",tribal voice
"for each 1% increase in the average net-of-tax share, what is estimated increase of labour income in the preferred model specification?",0.421
how many females aged 12 and older accused of committing a criminal code offence in 2017?,210946.0
"in 2017, what percent of all persons accused of a criminal code violation were related to assault.",0.186143
what percent of violent crime involving a female accused being related to assault?,0.695225
"which group of people were accused of sexual assault (levels 1, 2 and 3) far less frequently? males or females?",female accused
how many percent did u.s. citizens and permanent residents account of the early career doctorates population in 2015?,0.654132
how many percent of earning their first doctorate from a u.s. academic institution?,96.6
"among the early career doctorates on a temporary visa, how many percent were foreign trained?",48.2
"which album of deni hines's was released with the single ""what about love"" in 2016?",the soul sessions
"in 2001, which competition did canada participate in?",confederations cup
how many appearances did bowditch make in 6 seasons till 2016-17 with the club milton keynes dons?,227.0
how many goals did bowditch make in 6 seasons till 2016-17 with the club milton keynes dons?,48.0
"according to the homicide survey, how many females are accused of homicide from 2007 to 2017?",679
what is the average number of females accused of homicide from 2007 to 2017 per year?,61.727273
what is te average number of males accused of homicide from 2007 to 2017 per year?,491.818182
what is the average rate of females accused of homicide from 2007 to 2017?,0.407273
"overall, which age group has the highest rate of accused of homicide?",18 to 24
"in 2015/2016, how many completed adult criminal court cases are related to violent crimes?",74424
which group of criminal court cases for violent crimes adult was less likely to result in guilty decisions? male or female.,females
what percent of cases involving a female were found guilty for criminal arassment cases.,26.0
"what percent of refugees with less than a high school education are for male and female gars, respectively?","<53.0>, <63.3>"
what percent of psrs initially settled in toronto?,"<41.2>, <39.1>"
what percent of firms with canadian-born owners applies for any debt financing?,28.3
what percent of firms with immigrant owners sought any forms of financing?,22.0
which type of owners generally turn to formal financial institutions for debt financing less often? immigrant owners or canadian-born owners?,all immigrants
which type of owners turned to financing from government lending institutions less often ? immigrant owners or canadian-born owners?,all immigrants
"what percent of the firms with canadian-born and immigrant owners tended seek a trade credit, respectively?","<18.7>, <19.5>"
which type of request was rarely sought by smes with either immigrant or canadian-born owners?,equity
which type of entrepreneur was more likely to turn to credit from financial institution? immigrant entrepreneurs or canadian-born entrepreneurs ?,canadian-born
"what percent of immigrants entrepreneurs use loans and equity from ""angel investors"" or venture capital sources?",3.0
what percent of canadian-born entrepreneurs use government sources of funding to finance start-ups?,6.0
how many percent did state government agency expenditures for research and development total in fy 2015?,2205147.0
"state government agency expenditures for research and development totaled $2.2 billion in fy 2015, what was an increase from fy 2014?",16.9
what percent of all start-ups in the sample used personal financing?,83.65
what percent of canadian-born entrepreneurs used personal financing to start a kbi business?,88.4
what percent of immigrant entrepreneurs used personal financing to start a kbi business.,77.6
what percent of canadian-born entrepreneurs used friends and relatives as a financing source to start a kbi business?,10.7
which type of start-ups is much less likely to use debt financing from formal financial institutions? start-ups from other industries or kbi start-ups?,kbi firms
what percent of start-ups in non-kbi industries turned to debt financing from a financial institution?,44.0
what percent of immigrant-owned kbi start-ups turned to debt financing from a formal financial institution?,12.3
which type of start-up is less likely to use trade credit financing? kbi start-ups or non-kbi firms?,kbi firms
which sources were used more often by kbi firms than by non-kbi firms?,angel investors or venture capital providers
what percent of kbi start-ups turned to angel investors or venture capital financing?,6.1
how many participants were included after the study criteria were applied.,331046.0
how many the average annual mde prevalence was among employed participants?,5.4
how many the average annual mde prevalence was among unemployed participants?,11.7
how many the average annual mde prevalence was among participants not participating in the labour force?,9.8
how many percentage points did the annual growth rate of nominal gdp decrease after the revision in 2015?,0.46
how many percentage points did the annual growth rate of nominal gdp decrease after the revision in 2016?,0.12
how many the mean absolute percentage point was revision to the annual growth rate of real gdp for the 2015 to 2017 period?,0.23
how many millions of dollars of the value of gross operating surplus have been adjusted downward in 2015?,11092
how many millions of dollars of the value of compensation of employees have been reduced in 2016?,17522
how many millions of dollars of the value of compensation of employees have been reduced in 2017?,13532
how many thousand dollars of intramural r&d performed by state agencies in fy 2015?,581667.0
how many thousand dollars did new york account of the $582 thousand of intramural r&d performed by state agencies in fy 2015?,241921.0
how many thousand dollars did california account of the $582 thousand of intramural r&d performed by state agencies in fy 2015?,55223.0
how many thousand dollars did florida account of the $582 thousand of intramural r&d performed by state agencies in fy 2015?,45016.0
how many thousand dollars did south carolina account of the $582 thousand of intramural r&d performed by state agencies in fy 2015?,22352.0
how many thousand dollars did connecticut account of the $582 thousand of intramural r&d performed by state agencies in fy 2015?,21886.0
"how many percent did five states account of the $582 million of intramural r&d performed by state agencies in fy 2015: new york, california, florida, south carolina, and connecticut?",0.664294
"which deni hines's album was released in 2006 and features the singles ""water for chocolate"", ""son of a preacher man"" and ""5 days of rain""?",water for chocolate
which class did immigrants admit in make up the largest group across all sectors?,skilled labour
which class ranked second across all sectors?,family class
which class intended to attract investment ranked third across all sectors?,business class
which class ranks fourth and account for 11% of immigrant business owners?,refugees
how many millions of dollars have the estimates for household final consumption expenditure been revised upward in 2015?,799.0
how many millions of dollars have the estimates for household final consumption expenditure been revised down in 2016?,1573
how many millions of dollars have government final consumption expenditures been revised to a lower level than previously in 2015?,-1450.0
how many millions of dollars have government final consumption expenditures been revised to a lower level than previously in 2015?,-3312.0
how many millions of dollars have government final consumption expenditures been revised to a lower level than previously in 2015?,-3903.0
how many millions of dollars were the revisions to business gross fixed capital formation in 2015?,-2957.0
how many millions of dollars were the revisions to business gross fixed capital formation in 2016?,-2924.0
how many millions of dollars were the revisions to business gross fixed capital formation in 2017?,-3754.0
how many millions of dollars have general government gross fixed capital formationin been increased in 2015?,1726.0
how many millions of dollars have general government gross fixed capital formationin been decreased in 2016?,4698
how many millions of dollars have the revisions to estimates of business inventories been decreased in 2015?,-40
how many millions of dollars have exports of goods and services been revised down in 2015?,1107
how many millions of dollars have exports of goods and services been revised down in 2016?,876.0
how many millions of dollars have exports of goods and services been revised down in 2017?,935.0
how many millions of dollars have the revisions to estimates of business inventories been increased in 2016?,1253.0
how many millions of dollars have the revisions to estimates of business inventories been increased in 2017?,2556.0
how many percentage points of women in common-law unions did numavut have in 2011?,24.6
how many percentage points of women in common-law unions did northwest territories have in 2011?,20.1
how many percentage points of women living with a common-law parter did quebec have in 2011?,21.0
how many percentage points of women living with a common-law parter did saguenay have in 2011?,24.1
how many percentage points of women living with a common-law parter did sherbrooke have in 2011?,23.8
how many percentage points of women living with a common-law parter did trois-rivieres have in 2011?,23.6
how many percentage points did women in montreal live with a common-law parter in 2011?,17.1
what is the median age of marrid women in 2011?,51.0
what was the median age for married men in 2011?,53.4
what was the median age for male common-law partners in 2011?,41.0
how many thousands were women in same-sex couples by 2011?,58.8
how many thousands have women been common-law among those in same-sex couples by 2011?,39.8
how many thousands have women been married spouses among those in same-sex couples by 2011?,19.0
how many percentage points did women living in a same-sex union represent in all women in couples in canada in 2011?,0.7
how many percentage points did men living in a same-sex union represent among all men in couples in canada in 2011?,0.9
how many thousands were family cases among civil court cases according to the 2013/2014 civil court survey?,313.2
how many percentage points did family cases involved divorce cases among total family cases?,36.7
"what is the percentage of divorce cases in 2013/2014 with no identified issues of access, custody or support among divorce cases?",0.661445
"what is the percentage of divorce cases in 2013/2014 with no identified issues of access, custody or supportamong divorce cases?",0.338555
"what is the percentage of other family cases related to access,custody and/or support?",0.291826
what was the total fertility rate in found in nunavut?,2.97
how many percentage points was the absolute gap in internet use between non-seniors and seniors in 2007?,49.0
how many percentage points was the absolute gap in internet use between non-seniors and seniors in 2016?,28.0
how many percentage points did the gap between seniors and middle-aged canadians narrow from 2007 to 2016?,21
which term was houston texans season the 1st under head coach gary kubiak?,2006.0
how many rushing yards did sims have in 1978?,1896.0
"how many yards did tomlinson run for, in his rookie season?",1236.0
how many registered electors are in the kurunegala district in 2010?,1183649.0
what was the percentage of people having a high school education or less for all sectors?,36.35
what was the percentage of people having bachelor's degree or above upon landing for all sectors?,34.53
"what level of education of owners made up the largest share in construction; manufacturing; retail trade; transportation; arts, accommodation and food services; and other services?",high school or less
"what level of education of owners represented the largest share in mining and utilities, wholesale trade, professional services, and education and health?",bachelor's degree and above
how many percentage points did the gap in internet use between the middle-aged and those aged 65 to 69 decline from 2007 to 2016?,22.8
how many percentage points did the gap between the middle-aged and seniors aged 80 and older decline from 2007 to 2016?,10.2
how many percentage points did the gap in internet use between in the middle-aged population and seniors aged 70 to 74 decline from 2007 to 2016?,24.7
how many percentage points did the gap in internet use between in the middle-aged population and seniors aged 75 to 79 decline from 2007 to 2016?,21.9
how many census respondents did the cohort comprise?,2864300
how many census respondents were metis among the cohort?,36700.0
how many times were the acsc-related ashr among metis more than that of non-aboriginal people?,2.13587
how many times were diabetes-related hospitalizations among metis higher than that of non-aboriginal people?,2.75
"what is the number of police officers in canada on may 15, 2015?",68777.0
"what is the number of officers per 1000,000 population in canada on may 15, 2015?",191.8
"in the 2012-13 season, which league did josh brizell make his first appearance with hyde?",conference premier
how many appearances did paul bracewell from stoke make?,141.0
how many goals did paul bracewell from stoke make?,6.0
what is the number of an overall crime rate police serving majority indigenous populations reported in 2018?,30333.0
what is the number of an overall crime rate police serving majority non-indigenous populations reported in 2018?,5191.0
how many times was the rate of mischief in indigenous communities higher than in non-indigenous communities in 2018?,15.465662
what is the percentage did police reported crimes in indigenous communities was mischief?,0.304379
what is the percentage did police reported crimes in non-indigenous communities was mischief?,0.115007
what percentage did violent offences account for which was reported by police serving majority indigenous populations?,0.30396
what percentage did violent offences account for which was reported by police serving majority non-indigenous populations?,0.201637
"what is the number of incidents of violent crime per 100,000 population did police serving primarily indigenous communities report in 2018?",9220.0
"how many times were the number of incidents of violent crime per 100,000 population reported by police serving primarily indigenous communities in 2018 higher than those primarily serving non-indigenous communities?",8.806113
how many times have the rate of common assault reported by police serving majority indigenous populations been higher in indigenous communities than in non-indigenous communities?,10.95599
what percentage of violent crime did the rate of common assault reported by police serving majority non-indigenous populations represent?,0.39064
what percentage of violent crime did the rate of common assault reported by police serving majority indigenous populations represent?,0.485994
how many percentage points have criminal incidents been cleared in indigenous communities in 2018?,66.0
how many percentage points have criminal incidents been cleared in indigenous communities in 2018?,37.0
"in the 1910-11 season, which division did joe brough play for liverpool?",first division
"in the two-year period from january 2015 to december 2016, how many thousands of the average of unemployed persons in canada?",1327.6
"in the two-year period from january 2015 to december 2016, how many thousands of the average of job vacancies in canada?",390.1
"how many unemployed persons per job would be opening, if if unemployed university-educated persons restricted their job search only to jobs requiring a university education?",5.9
"how many unemployed persons per vacancy wuold be, if restricting vacancies that require a high school education only to those with this level of education?",3.8
what percentage did job vacancies require no more than a high school education?,0.632485
what percentage do unemployed have a postsecondary education?,0.491149
"in 2016-17 ligue 2 season, how many appearances did ferland mendy make for le havre?",35.0
what percentage of imports are skewed toward north america accounting for?,51.75
what percentage of emports are skewed toward north america accounting for?,72.43
what percentage of imports with the second most important trading partner region-east and southeast asia?,26.63
what percentage of exports with the second most important trading partner region-east and southeast asia?,10.37
what percentage of imports trade activities among immigrant-owned firms observed to be less concentrated in north america?,30.53
what percentage of exports trade activities among immigrant-owned firms observed to be less concentrated in north america?,56.83
how many carriers did hardesty have in 2009?,282.0
"during 2001-02 season, how many matches did ricardo quaresma play in primeira liga at sporting?",28.0
"during 2001-02 season, how many goals did ricardo quaresma played in 28 primeira liga matches and score at sporting?",3.0
what is the type of west hants in nova scotia?,district municipality
what the percentage of the imports did immigrant-owned firms account for in the manufacuring sector?,8.4
which firm margin's contribution is smaller when immigrant-owned and canadian-owned firms are compared?,firm extensive margin
which firm margin's contribution is larger for imigrant-owned firms when immigrant-owned and canadian-owned firms are compared?,intensive margin
"in the 1996 summer olympics, what was the result did jonathan edwards make a jump of?",17.13
how many receptions did philip lutzenkirchen end his career with?,59.0
how many yards did philip lutzenkirchen end his career with?,628.0
how many touchdowns did philip lutzenkirchen end his career with?,14.0
"which firms are less likely to import from regions that are not the owner's region of origin,immigrant-owned or canadian-owned firms?",immigrant-owned in t-1
which league did david n'gog appear club liverpool in the 2008-09 season?,premier league
how many percentage points are immigrant-owned wholesalers less likely on average to import compared with canadian-owned wholesalers?,0.008
how many percentage points are immigrant-owned wholesalers less likely to import from other regions?,0.03
"what was the rank of andrea true's ""more, more, more"" peaked on the us billboard hot 100?",4.0
"what was the rank of andrea true's ""more, more, more"" peaked on the uk singles chart?",5.0
which league did paul konchesky play for fulham in the 2008-09 season?,premier league
how many percentage points is the probability of immigrant-owned firms exporting to immigrant owners' regions of origin higher than that of canadian-owned firms?,0.022
how many percentage points is the probability of exporting to other regions?,0.004
how many appearances did peter gelson make for brentford?,516.0
"in 2016, which league did chatto sign with side ordabasy?",kazakhstan premier league
"how many percentage points are immigrant-owned wholesalers more likely to export than their canadian-owned counterparts, regardless of export destination?",0.008
how many percentage points are immigrant-owned wholesalers more likely to export to immigrant owners' regions of origin than canadian-owned wholesalers?,0.06
"what the percentage did immigrant-owned exporters export slightly more products, regardless of destination,compared with canadian-owned exporters in the wholesale trade sector.",0.055
what the percentage did immigrant-owned exporters export more products to their owners' regions of origin?,0.024
how many matches did ernest williamson play for arsenal?,113.0
how many sacks did peppers record a career-high sacks in the 2008 season?,14.5
"in 2012/2013, what was the mean omega-3 index level of 20- to 79-year-olds?",4.5
"in the 2001-02 season, how many games did lee boylan join canvey island, playing for the club during his five-year tenure?",210.0
"in the 2001-02 season, how many goals did lee boylan join canvey island, playing for the club during his five-year tenure?",176.0
"during 2013, how many million dollars did companies report of domestic r&d paid for by the company?",264913.0
how many percent did businesses in california alone account of this amount in 2013?,0.277102
"which country workers in are more likely to be women, the united states or canadian counterparts?",united states
how many percent of canadian workers are immigrants?,0.265
how many percent of american workers are immigrants?,0.162
"what was he mean literacy test score in canada, where workers scored on average?",278.3
"what was he mean literacy test score in the united states, where workers scored on average?",274.4
how many percent does numeracy account for the gap in management of personnel resources?,37.7
how many percent do literacy skills account for the gap in management of personnel resources?,7.0
"what is the rate do correctional services represent of offenders per 100,000 adult population?",422.0
"correctional services represent a rate of 422 offenders per 100,000 adult population, what is a decline from the previous year?",3
"correctional services represent a rate of 422 offenders per 100,000 adult population, what is a decrease from 2012/2013?",17
what was the number of correctional service canada supervised an average of adult offenders in a custody or a community program in 2016/2017?,23006.0
"correctional service canada supervised an average of 23,006 adult offenders in a custody or a community program in 2016/2017, what was the rate of representing offenders per 100,000 adult population?",79.0
"correctional service canada supervised an average of 23,006 adult offenders in a custody or a community program in 2016/2017, what was a decrease from the previous year?",1
"correctional service canada supervised an average of 23,006 adult offenders in a custody or a community program in 2016/2017, what was a decline from five years earlier?",6
how many percent did prince edward island have the largest decrease at?,-11.0
how many percent did alberta island have the second-largest decrease at?,-8.0
"as with previous years, how many percent of adults in provincial and territorial correctional services in 2016/2017 were supervised in the community?",79.0
"on an average day in 2016/2017, how many adults in custody including provincial/territorial and federal custody?",39873.0
"how many adults does custody translate into an adult incarceration rate of adults per 100,000 adult population?",136.0
"custody translates into an adult incarceration rate of 136 adults per 100,000 adult population, what was the percent of decrease from 2015/2016?",2
what was a total of adults in provincial and territorial custody in 2016/2017?,25448.0
what was a total of adults in federal custody on an average day in 2016/2017?,14425.0
"what was the rate of manitoba which recorded the highest incarceration rate per 100,000 adult population?",240.0
"what was the rate of nova scotia which recorded the lowest incarceration rate per 100,000 adult population?",62.0
how many percent did aboriginal males account for admissions to custody in the province and territories in 2016/2017?,28.0
how many percent did non-aboriginal males account for admissions to custody in the province and territories in 2016/2017?,72.0
how many percent did aboriginal females account for admissions to custody in the province and territories in 2016/2017?,43.0
how many percent did non-aboriginal females account for admissions to custody in the province and territories in 2016/2017?,57.0
"in 2016/2017, what was the number of operating expenditures for adult correctional services in canada totaled?",4701741.0
"in 2016/2017, how many percent did operating expenditures for adult correctional services in canada total increase from the previous year after adjusting for inflation?",1.0
"in 2016/2017, how many ,on an average day, youth supervised in custody or a community program in the 10 reporting jurisdictions?",7616.0
"what is the number of total correctional services represent a rate per 10,000 youth population?",44.0
"total correctional services represent a rate of 44 per 10,000 youth population, how many percent of decreasing from the previous year?",10
"total correctional services represent a rate of 44 per 10,000 youth population, how many percent of decreasing from 2012/2013?",37
"on an average day in 2016/2017, how many youth in custody in the 12 reporting jurisdictions?",897.0
"on an average day in 2016/2017, there were 897 youth in custody in the 12 reporting jurisdictions, what was the rate of representing per 10,000 youth population?",5.0
"on an average day in 2016/2017, there were 897 youth in custody in the 12 reporting jurisdictions, how many percent of decrease from the previous year representing?",12
"on an average day in 2016/2017, there were 897 youth in custody in the 12 reporting jurisdictions, how many percent of representing decrease from 2012/2013?",33
"in 2016/2017, what was the total number of youth admissions to correctional services among the 10 reporting jurisdictions?",19069.0
"in 2016/2017, the total number of youth admissions to correctional services among the 10 reporting jurisdictions, how many percent of a decrease when compared to 2015/2016?",10
how many percent did admissions to community supervision decreas by?,11
how many percent did admissions to custody decreas by?,8
how many percent of nunavut which had the largest increase in total admissions?,80.0
how many percent of yukon which had the largest decrease in admissions?,52
"in 2016/2017, how many percent of youth admitted into correctional services were male?",76.0
how many percent of custody admissions did female youth account for?,24.0
how many percent of community supervision admissions did female youth account for?,24.0
how many percent of admissions did youth aged 12 and 13 account to correctional services?,4
how many percent of admissions did aboriginal youth account to correctional services in 2016/2017?,46.0
"aboriginal youth are overrepresented in both custody and community supervision, how many percent of custody admissions?",50.0
"aboriginal youth are overrepresented in both custody and community supervision, how many percent of community admissions?",42.0
"in canada (in 2016), how many percent of stem-educated adult immigrant workers had a stem occupation in canada?",46.2
"in the united states (from 2015 to 2017), how many percent of stem-educated adult immigrant workers had a stem occupation in the united states?",49.7
how many percent in stem jobs in canada the native-born population and immigrants achieved?,46.5
how many percent in stem jobs in the united states the native-born population and immigrants achieved?,34.6
"in canada, how many percent found adult immigrants in jobs requiring a university degree?",83.9
"in the united states, how many percent found adult immigrants in jobs requiring a university degree?",96.0
"in canada, how many percent found a job requiring a university degree?",20.0
"in canada, how many percent found a job requiring a university degree of the canadian-born population?",40.1
"in the united states, how many percent found a job requiring a university degree among adult immigrants?",48.1
"in the united states, how many percent found a job requiring a university degree of the canadian-born population among the american-born population?",56.2
"immigrants with an engineering degree who could not find a stem job had particularly poor outcomes in canada, how many percent found a job requiring a university degree?",12.8
"immigrants with an engineering degree who could not find a stem job, how many percent found a job requiring a university degree in the united states?",42.8
"fletcher began his club career with hibernian, how many league games did he play?",156.0
"fletcher began his club career with hibernian, how many goals did he score?",43.0
"in 2018, which league have dzhalilov joined side sriwijaya?",liga 1
"among canadians with a disability, how many times was the rate of violent victimization in the 12 months preceding the survey as high when compared to those who did not report a disability?",2.016393
"how many incidents of violent victimization for every 1,000 women 15 years of age and older with a disability?",137.0
"how many incidents of violent victimization for every 1,000 women 15 years of age and older without a disability?",65.0
"how many incidents of violent victimization for every 1,000 women 15 years of age and older with a disability?",105.0
"how many incidents of violent victimization for every 1,000 women 15 years of age and older without a disability?",58.0
"how many incidents of violent victimization for every 1,000 women 15 to 24 years of age with a disability?",378.0
"among men with a disability, what was the victimization rates incidents per 1,000 population among those aged 55 to 64?",45.0
"among men with a disability, what was the victimization rates incidents per 1,000 population among those aged 65 years and older?",25.0
"how many incidents of violent victimization for every 1,000 women with a disability who were sexually abused during childhood?",272.0
"how many incidents of violent victimization for every 1,000 women with a mental health-related disability between the ages of 15 and 24?",445.0
"how many incidents of violent victimization for every 1,000 women with a mental health-related disability between the ages of 25 and 34?",406.0
"how many incidents of violent victimization for every 1,000 women with a cognitive disability between the ages of 15 and 24?",378.0
"how many percent of women with a disability who were victimized most often reported that the perpetrator was a friend, acquaintance, or neighbour?",44.0
how many percent of women with a disability who were victimized most often reported that the perpetrator was a stranger?,35.0
"which characteristics of the incident were men with a disability more likely to be victimized by a friend, acquaintance, or neighbour?",has a disability
what was the proportion of men victimized by a stranger among those with a disability?,49.0
what was the proportion of men victimized by a stranger among those with a disability?,67.0
which league did cuevas participate in the 2016-17 season for huracan?,primera division
"in 2000, there was little difference between the fswp and provincial programs in the share of selected immigrants with pre-immigration canadian earnings, how many percent for provincial programs?",11.2
"in 2000, there was little difference between the fswp and provincial programs in the share of selected immigrants with pre-immigration canadian earnings, how many percent for federal skilled workers?",8.7
"by 2018, how many percent of economic principal applicants had worked in canada before landing?",59.0
"by 2018, how many percent of the spouses and dependents had worked in canada before landing?",21.8
"what was the share with low pre-immigration canadian earnings (under $20,000 annually) in 2000?",38.3
"what was the share with low pre-immigration canadian earnings (under $20,000 annually) in 2018?",9.5
"over the period, what was the proportion of economic principal applicants who had middle-level earnings ($20,000 to $50,000) in 2000?",40.5
"over the period, what was the proportion of economic principal applicants who had middle-level earnings ($20,000 to $50,000) in 2018?",59.4
how many percent of indigenous people aged 20 to 24 living off reserve had a high school diploma?,77.4
what was the percentage of those aged 55 and over with a high school diploma?,46.2
how many percent of older adults aged 55 and over did not complete high school?,38.9
how many percent of young adults aged 20 to 24 did not complete high school?,19.4
how many percent of first nations people living off reserve had received a standard high school diploma?,60.1
how many percent of metis people living off reserve had received a standard high school diploma?,67.5
how many percent of inuit people living off reserve had received a standard high school diploma?,37.8
how many percent of indigenous adults aged 20 to 24 reported completing an upgrading or high school equivalency program?,3.3
how many percent of indigenous adults aged 45 to 54 reported completing an upgrading or high school equivalency program?,13.3
how many percent of indigenous adults aged 55 and over reported completing an upgrading or high school equivalency program?,14.9
what was the percentages of indigenous adults living off reserve had completed an upgrading or high school equivalency program in the atlantic provinces?,13.8
what was the percentages of indigenous adults living off reserve had completed an upgrading or high school equivalency program in the prairies?,12.2
what was the percentages of indigenous adults living off reserve had completed an upgrading or high school equivalency program in the territories?,10.7
what was the percentages of indigenous adults living off reserve had completed an upgrading or high school equivalency program in the british columbia?,9.5
what was the probability of obtaining any postsecondary credentials for individuals who completed an upgrading or high school equivalency program?,0.53
what was the probability of obtaining any postsecondary credentials for individuals who did not complete an upgrading or high school equivalency program?,0.22
what was the probability of obtaining postsecondary qualifications was even higher for those who earned a high school diploma?,0.65
what was the probability of obtaining postsecondary credentials for indigenous women?,0.57
what was the probability of obtaining postsecondary credentials for indigenous men?,0.49
what was the probability of being employed for men and women who completed an upgrading or high school equivalency program and postsecondary education?,0.68
what was the probability among those who did not complete high school?,0.46
"for those who completed an upgrading or high school equivalency program but did not obtain postsecondary qualifications, what was the probability of employment?",0.58
what was the probability of employment which was highest among indigenous adults who earned a standard high school diploma and postsecondary credentials?,0.76
what was the probability of employment was lower among those who had a standard high school diploma but did not have any postsecondary credentials?,0.6
what was the probability of employment for those who completed an upgrading or equivalency program but no postsecondary education?,0.58
what was the probability of being employed among indigenous women who completed an upgrading program and postsecondary qualifications?,0.67
how many percent among those who did not complete high school?,0.38
"among those who completed a high school equivalency or upgrading program but did not obtain postsecondary qualifications, what was the probability of employment?",0.51
what was the probability of employment for indigenous men who completed an upgrading or equivalency program and postsecondary qualification?,0.68
how many percent among those who left school without a diploma?,0.54
"among indigenous men with no postsecondary qualifications, what was the probability of employment based on the completion of a high school diploma?",0.66
"among indigenous men with no postsecondary qualifications, what was the probability of employment based on the completion of high school equivalency or upgrading?",0.65
"for the population aged 20 to 79, how many percent of the 10-year risk of a cvd event?",8.9
how many percent of adults were classified as high-risk?,"4,729.6"
how many percent of adults were classified as intermediate-risk?,"2,167.6"
how many percent of adults were classified as low-risk?,"17,136.8"
what was the mean 10-year risk of a cvd event for high-risk?,27.9
what was the mean 10-year risk of a cvd event for intermediate-risk?,14.0
what was the mean 10-year risk of a cvd event for low-risk adults?,2.9
"in 2014, which league did dinis join delhi dynamos fc?",indian super league
among which sex people engaging in utilitarian walking more than 5 hours a week was more prevalent?,women
among which age group people engaging in utilitarian walking more than 5 hours a week was more prevalent?,20 to 39
"among which education group people engaging in utilitarian walking more than 5 hours a week was more prevalent, those who did not have a university degree, or those who had?","<less than college>, <college>"
among which household income group people engaging in utilitarian walking more than 5 hours a week was more prevalent?,"less than $40,000"
"according to daily physical activity, among which group people engaging in utilitarian walking more than 5 hours a week was more prevalent?","stand, walk, lift weights"
which league did keith andrews move to milton keynes dons for the 2006-07 campaign?,league two
how many appearances did the footballer alistair brown (born 1951) make in leicester city?,121.0
