similarity_score,question
0.6028,what was the proportion of summary cases of the selected sexual violations against children resulting in a guilty finding post 2005?
0.5926,"which period has higher proportion of summary cases of the selected sexual violations against children resulting in a guilty finding, pre 2005 or post 2005?"
0.6053,what was the proportion of custody sentences for guilty cases pre 2005?
0.6097,what was the proportion of custody sentences for guilty cases post 2005?
0.5227,"which period has higher proportion of custody senstences for guilty cases, pre 2005 or post 2005?"
0.5598,what was the proportion of summary cases in conditional sentences before 2005?
0.5931,what was the proportion of summary cases in probation before 2005?
0.6223,what was the total proportion of summary cases that were probation and conditional sentences before 2005?
0.5828,what was the proportion of indictable convictions resulted in conditional sentences before 2005?
0.5639,what was the proportion of indictable convictions resulted in probation before 2005?
0.5823,what was the total proportion of indictable convictions that resulted in conditional services and probation before 2005?
0.5666,what was the proportion of summary cases in conditional sentences before 2005?
0.6155,what was the proportion of summary cases in probation before 2005?
0.5956,what was the proporton of summary cases in other non-custodial sentences before 2005?
0.6525,"what was the total proportion of summary cases in conditional cases, probation and other non-custodial sentences before 2005?"
0.5735,what was the proportion of indictable cases in conditional sentences before 2005?
0.6436,what was the proportion of indictable cases in probation before 2005?
0.6564,"what was the total proportion of indictable cases that resulted in conditional sentences, probation and other non-custodial sentences before 2005?"
0.6025,what was the proportion of indictable cases in other non-custodial sentences before 2005?
0.553,what was the proportion of cases that involved multiple charges pre 2008 among amended groups?
0.5625,what was the proportion of cases that involved multiple charges post 2008 among amended groups?
0.5249,what was the proportion of cases that involved multiple charges pre 2008 among non-amended groups?
0.5349,what was the proportion of cases that involved multiple charges post 2008 among non-amended groups?
0.5354,what was the proportion of cases that involved ten or more court appearances pre 2008 among amended groups?
0.5405,what was the proportion of cases that involved ten or more court appearances post 2008 among amended groups?
0.482,"among amended groups, which years had a higher proportion of cases that involved ten or more court appearances?"
0.5132,what was the proportion of cases that involved ten or more court appearances pre 2008 among non-amended groups?
0.5181,what was the proportion of cases that involved ten or more court appearances post 2008 among non-amended groups?
0.4849,"among non-amended groups, which period had a higher proportion of cases that involved ten or more court appearances?"
0.3562,how many appearances did alexandros tziolis make in paok?
0.4427,which club did young join in a-league club for the 2014-15 season?
0.4011,which club did marquez sign for major league soccer?
0.4567,"in 2016, which club did tebar appear in indian super league?"
0.5414,what was the proportion of first nations people that had high blood pressure in 2012?
0.6192,what was the proportion of first nations people that had arthritis in 2012?
0.6055,what was the proportion of first nations people that had asthma in 2012?
0.6156,what was the proportion of male first nations people that had arthritis in 2012?
0.6092,what was the proportion of female first nations people that had arthritis in 2012?
0.4399,"in 2012, which gender had a higher proportion with arthritis?"
0.6038,what was the proportion of male first nations people that had asthma in 2012?
0.5999,what was the proportion of female first nations people that had asthma in 2012?
0.4332,"in 2012, which gender had a higher proportion with asthma?"
0.5485,what was the proportion of male first nations people that had mood disorder in 2012?
0.5423,what was the proportion of female first nations people that had mood disorder in 2012?
0.3339,"in 2012, which gender had a higher proportion with mood disorder?"
0.5946,what was the proportion of male first nations people that had anxiety disorder in 2012?
0.5875,what was the proportion of female first nations people that had anxiety disorder in 2012?
0.5962,what was the proportion of first nations people that had diabetes in 2012?
0.4133,"among off-reserve first nations people, what was the proportion of male that had at least one chronic condition?"
0.4271,"among off-reserve first nations people, what was the proportion of female that had at least one chronic condition?"
0.4126,"among off-reserve first nations people, which gender was more likely to report having at least one chronic condition?"
0.4817,what was the proportion of people who reported living in a house where major repairs were needed reported to have at least one chronic condition?
0.5095,what was the proportion of people who reported living in a house where minor or no repairs were needed reported to have at least one chronic condition?
0.4494,which physical environment had a higher proportion of people that reported having at least one chronic condition?
0.5301,what was the proportion of people who reported living in a house where major repairs were needed reported to have fair or poor self-rated general health?
0.5616,what was the proportion of people who reported living in a house where minor or no repairs were needed reported to have fair or poor self-rated general health?
0.4308,which physical environment had a higher proportion of people that reported fair or poor self-rated general heath?
0.5265,what was the proportion of people who reported living in a house where major repairs were needed reported to have fair or poor self-rated mental health?
0.5582,what was the proportion of people who reported living in a house where minor or no repairs were needed reported to have fair or poor self-rated mental health?
0.4682,which physical environment had a higher proportion of people that reported fair or poor self-rated mental heath?
0.4778,what was the proportion of people who moved once or more in the last 12 months reported to have at least one chronic condition?
0.5451,what was the proportion of people who moved once or more in the last 12 months reported to have fair or poor self-rated mental health?
0.5766,what was the proportion of people who did not move in the last 12 months reported to have fair or poor self-rated mental health?
0.5349,what was the proportion of people with unmet health care needs reported to have at least one chronic condition?
0.5312,what was the proportion of people without unmet health care needs reported to have at least one chronic condition?
0.3425,which type of people were more likely to have at least one chronic condition?
0.5661,what was the proportion of people with unmet health care needs reported to have fair or poor self-rated general health?
0.5631,what was the proportion of people without unmet health care needs reported to have fair or poor self-rated general health?
0.4144,which type of people were more likely to have fair or poor self-rated general health?
0.5814,what was the proportion of people with unmet health care needs reported to have fair or poor self-rated mental health?
0.5823,what was the proportion of people without unmet health care needs reported to have fair or poor self-rated mental health?
0.4319,which type of people were more likely to have fair or poor self-rated mental health?
0.6642,what is the number have completed cases decreased in quebec from 2013/2014 to 2014/2015?
0.6695,how many percentage points did the number of completed cases decrease in quebec from 2013/2014 to 2014/2015?
0.6263,how many percentage points did the number of completed cases change in ontario from 2013/2014 to 2014/2015?
0.632,how many percentage points did the number of completed cases change in alberta from 2013/2014 to 2014/2015?
0.5701,how many percent of the vote is belong to radu campeanu?
0.5265,what percent of the volkstag election votes is for the nazi party?
0.4251,"in 2005, what is averaged passing yards for josh mccown?"
0.3515,how many receptions did shane vereen finish the 2013 season with?
0.5203,"in 2014/2015, how many percentage points have probation sentences been imposed for cases involving criminal harassment?"
0.5096,"in 2014/2015, how many percentage points have probation sentences been imposed for cases involving uttering threats?"
0.5558,"in 2014/2015, how many percentage points have probation sentences been imposed for cases involving common assault?"
0.4972,how many percentage points did cases involving impaired driving receive probation sentences?
0.5855,"in 2014/2015, what is the the median length of probation in canada?"
0.5697,how many percentage points have probation been imposed in all homicide cases completed in adult criminal court in 2014/2015?
0.5266,how many percentage points have a fine been imposed in adult criminal court in 2014/2015?
0.3693,how many dollars was the the median amount of fine imposed in 2014/2015?
0.4906,what percentage did impaired driving cases receive a fine sentence in 2014/2015?
0.5698,how many percentage points have custodial sentences been imposed in guilty adult criminal court cases in 2014/2015?
0.3694,what was the median length of a custodial sentence in 2014/2015?
0.5594,how many percentage points did canada as a whole impose custodial sentences in all impaired driving cases?
0.5381,how many percentage points were male among accused persons in adult criminal court?
0.6278,"in 2016, how many percentage points was the low-income rates of women and girls in newfoundland and labrador?"
0.6083,"in 2016, how many percentage points was the low-income rates of women and girls in alberta?"
0.6059,how many percentage points was the low-income rates of women in ontario?
0.4272,what percentage did the total donations made by primary donors rise from 2004 to 2013?
0.4222,what percentage did other donors increase from 2004 to 2013?
0.4306,what percentage did the total amount of donations made in 2013 come from primary donors?
0.4397,what percentage did the total amount of donations made in 2004 come from primary donors?
0.4659,how many league and cup appearances did hayden mullins make for the palace?
0.5417,how many percentage points did donors report that they planned on claiming a tax credit for the donations they made in the previous 12 months?
0.5538,how many percentage points did donors give less than $100 planned on claiming a tax credit?
0.5259,how many percentage points had donors given $500 or more in the previous 12 months?
0.6023,how many percentage points did donors between 35 and 54 years whose household income was in the highest quintile plan on claiming a tax credit?
0.6111,how many percentage points did donors between 35 and 54 years whose household income was in the bottom two quintiles plan on claiming a tax credit?
0.6425,"how many percentage points was youth aged 15 to 19 part of a group, organization or association in 2013?"
0.6674,"how many percentage points was youth aged 20 to 24 part of a group, organization or association in 2013?"
0.6692,"how many percentage points was youth aged 45 to 54 part of a group, organization or association in 2013?"
0.704,"how many percentage points was individuals aged 65 to 74 part of a group, organization or association in 2013?"
0.6061,how many dollars was the average value of all residential assets in vancouver owned by non-residents higher than the average for canadian residents?
0.6646,"for the vancouver cma as a whole, how many dollars was the average value of single-detached houses owned by non-residents higher than the average for residents?"
0.5618,what was average market value of single-detached houses owned by non-residents in vancouver?
0.5545,what was average market value of single-detached houses owned by residents in vancouver?
0.7842,"in the toronto cma, what was the average assessed value of all residential properties owned by non-residents in may 2017?"
0.7533,"in the toronto cma, how many dollars was the averageassessed value of all residential properties owned by non-residents lower than the average value of all resident-owned properties?"
0.3528,what cups did united play for?
0.5384,what is the incidence rate of uterine cancer in 2010?
0.5038,what was the rate of ovarian cancer?
0.5133,what was the rate of cervical cancer?
0.5357,how many shelters did the 2016 census count?
0.5777,how many usual residents among shelters the 2016 census counted ?
0.5631,what was the proportion of usual residents in shelters enumerated at shelters for individuals with no fixed address?
0.5588,how many usual residents in shelters have been enumerated at shelters for individuals with no fixed address?
0.6922,how many shelter residents were in alberta?
0.5477,what percentage of shelters for abused women and their children did ontario have?
0.6696,what percentage of other shelter residents were in quebec?
0.6701,how many shelters that reported having usual residents in ontario?
0.7048,how many shelters that reported having usual residents in quebec?
0.3636,how many passing yards did aaron rodgers have?
0.3523,how many receptions did watson finish 2014 season with?
0.4145,"how many yards did eli manning pass for, in the 2018 season?"
0.5658,how many percentage points did women make up first-year students in physical and chemical sciences?
0.5681,how many percentage points did women make up sixth-year students and graduates in physical and chemical sciences?
0.5155,how many percentage points did women make up first-year students in computer and information sciences?
0.5153,how many percentage points did women make up sixth-year students and graduates in computer and information sciences?
0.5957,how many percentage points did women graduate within five years among those who persisted in their initial stem field of study?
0.6,how many percentage points did men graduate within five years among those who persisted in their initial stem field of study?
0.4182,how many new arrivals did british columbia admit in 2012?
0.4274,how many new arrivals did british columbia admit in 2013?
0.5161,how many immigrants did british columbia admit in 2014?
0.5877,how many percentage points did british columbia attract immigrants to canada in 2014?
0.5775,how many percentage points did immigrants settle in manitoba in 2014?
0.4894,how many percentage points did immigrants settle in prince edward island in 2014?
0.1991,how many appearances did amelia make at livorno.
0.203,"which team employed meyer from january 25, 1995 to october 2, 1995 as its manager."
0.3487,"in 2014, what was the net number of non-permanent residents?"
0.3511,"in 2013, what was the net number of non-permanent residents?"
0.4753,"in 2014, what was the net number of non-permanent residents in manitoba?"
0.4766,"in 2014, what was the net number of non-permanent residents in british columbia?"
0.5907,how many percentage points were cases involving a non-violent offence?
0.5752,how many percentage points have ipv cases been related to common assault?
0.571,how many percentage points have non-ipv cases been related to common assault?
0.5491,how many percentage points did non-ipv cases involve major assault?
0.5609,how many percentage points did ipv cases involve major assault?
0.6042,how many percentage points did non-ipv cases result in a guilty verdict?
0.6222,how many percentage points did ipv cases result in a guilty verdict?
0.6575,how many percentage points did ipv cases for accused males result in a guilty verdict?
0.672,how many percentage points did ipv cases for accused females result in a guilty verdict?
0.6136,"in non-ipv cases, how many percentage points have male accused been found guilty?"
0.6266,"in non-ipv cases, how many percentage points have female accused been found guilty?"
0.6616,"for cases involving common assault, what percent of ipv cases resulted in a guilty finding?"
0.6042,"which guilty decision is the predomianted decision among common assault cases, whether ipv on non-ipv related."
0.6479,what percent of accused in non-ipv major assault cases were found guilty?
0.593,which type of sexual assault cases was more likely to be found guilty?
0.5612,"among ipv cases, what percent of criminal harassment resulted in a guilty finding."
0.3437,"what is the median processing time for all completed cases covered in this analysis, between 2005-2006 and 2010-2011?"
0.3975,which type of the cases has a shorter median elapsed time? ipv cases or non-ipv cases?
0.3634,"from the first appearance to the completion of ipv cases, what is the median processing time for cases with a single charge and for cases with two or more charges, respectively?"
0.4449,what is the final result for navjetdeep singh of india in the shot put event at the 2011 commonwealth youth games?
0.3664,"in the 2015 season, how many receptions did jackson finish with 414 receiving yards?"
0.4058,"how many passing yards did fitzpatrick finish with, in 2018?"
0.3544,"in 2017, how many rushing yards did alvin kamara finish with?"
0.4658,which type of cases is less likely to result in a sentence of custody?non-ipv cases or ipv cases?
0.6981,what percent of those imposed in ipv cases has sentenced to custody for six months or less?
0.6857,what percent of the persons convicted in ipv cases has sentenced custody for one month or less?
0.6661,"what percent of convicted ipv cases , sentences were between six months and one year less a day?"
0.6685,what percent of those found guilty in ipv cases were sentenced to more than one year in custody?
0.6626,what percent of custodial sentences imposed were for one month or less for non-ipv cases?
0.5135,how many percent of the non-ipv cases was for more than one year?
0.6458,"among completed ipv cases involving custody, which length of the sentence was more likely to be facing one charge?"
0.6672,"in ipv cases, what is the majority length of sentenced custody being received by multiple-charges cases offenders?"
0.6857,"what percent of ipv cases found guilty, in cases with multiple charges, were sentenced to more than six months in custody."
0.6724,what percent of ipv cases found guilty of one charge were sentenced to more than six months in custody.
0.6501,"what percent of accused persons in ipv cases who were sentenced to probation, which was more than six months but less than one year."
0.6441,"as with custody sentences, what are the top two cases resulted in the longest probation sentences for those convicted in ipv cases and in non-ipv cases?"
0.4746,what percent of neet individuals had volunteered for a group or organization to some extent over the period.
0.4966,what percent of the non-neet population had volunteered for a group or organization to some extent over the period.
0.2587,"among those who had volunteered, what is the most common answer?"
0.5221,what percent of the neet population provided this type of help in the past 12 months?
0.5408,what percent of the non-neet population provided this type of help in the past 12 months.
0.5058,what is the hr for melanoma associated with a 1 s.d. increase in the z-score of ambient uvr for both sexes when adjusting for all covariates?
0.4349,"for men, what is the hr for melanoma associated with ambient uvr?"
0.533,"which club did francesco totti appear in the league, in 2015-16 serie a season?"
0.3885,how long did the coastal branch aqueduct stretch for?
0.5764,how many thousand dollars did the nation's 40 federally funded r&d centers (ffrdcs) spend on research and development in fy 2013?
0.4358,what is the record for jose bautista of the toronto blue jays's walk competition.
0.1995,how many meters did alma richards set as olympic record with?
0.3493,"before returning to oxford in 2013, which club did danny rose appear in the 2011-12 conference premier?"
0.491,which club did matija boben join in the slovenian prvaliga in the 2013-14 season?
0.3015,how many games did dennis fidler play before transferring to darlington?
0.5199,"list sources of the difference that have lower estimated energy intake in 2015 than in 2004, regardless of the category of reporters."
0.5321,what is the hr for melanoma per increase of 1 s.d. in z-score for the trunk?
0.6981,"between 1995 and 2000, what percent of mfp growth in canada came from productivity growth in foreign countries?"
0.6167,how many percent of the overall foreign contribution to canada's mfp has increased during the period from 2000 to 2007?
0.5715,"over the period from 1974 to 2010, what percent of canadian manufacturing firms were exporters?"
0.5625,how many percent of exporters was more productive than non-exporters?
0.5745,"from 2003 to 2013, what percent of employees aged 18 to 64 were laid-off in canada?"
0.6061,"from 2003 to 2013, what is the canada's hiring rate for employees aged 18 to 64?"
0.5622,what is the layoff rates for employees aged 18 to 64 in newfoundland and labrador?
0.248,"when did america release ""a horse with no name""?"
0.4415,"in 2002, what percent of guyana is african descent?"
0.2923,how many appearances did mamady sidibe mike for stoke in an eight-year spell?
0.454,what percent of ontarians strongly believed that canadians valued ethnic and cultural diversity?
0.4275,what percent of canadians strongly believed that canadians valued ethnic and cultural diversity.
0.7127,"before the age of 25, what percent of people strongly believed that canadians valued ethnic and cultural diversity?"
0.6306,"by age 75, what percent of canadians greatly felt that they value human rights?"
0.6254,"under age 25, what percent of canadian greatly felt that they value human rights?"
0.5976,what percent of the university-educated population strongly felt that canadians valued human rights?
0.2299,what percent of the propotion recorded for the population with a university degree was higher than the proportion recorded for the population with a post-secondary diploma?
0.6014,"what percent of people with a household income of less than $20,000 believed to a great extent that canadians respected aboriginal culture?"
0.6026,"what percent of people with household incomes between $60,000 and $79,999 believed to a great extent that canadians respected aboriginal culture?"
0.5152,what percent of immigrants said they greatly believed canadians valued english and french as official languages?
0.6088,"as for respect for aboriginal culture, wha percent of immigrants believed to a great extent that canadians shared this value?"
0.6542,what percent of visible minorities strongly believed that canadians valued multiculturalism?
0.4934,which group of people were less likely to greatly believe that canadians had respect for the law? non-aboriginal people or aboriginal people?
0.4303,which group of people was as likely to greatly believe in the values of gender equality and ethnic and cultural diversity.
0.5094,which group of people was more likely to feel to a great extent that canadians respected aboriginal culture? aboriginal people or non-aboriginal people?
0.5905,"in quebec, what percent described being proud or very proud in being canadian?"
0.5399,what percent of quebecers felt proud or very proud of canadian history?
0.5928,what percent of quebecers felt proud or very proud of canada's political influence on the world?
0.5918,what percent of albertans were proud of canada's economic achievements?
0.2999,which province had the lowest levels of pride?
0.4057,what percent of residents of saguenay saying they were either proud or very proud to be canadian.
0.4852,"outside quebec,what is the highest proportion of canadians who reported feeling proud in brantford."
0.5456,what percent of canadians with less than a high school education expressed pride in canadian economic achievements?
0.5485,"what percent of canadians with an income less than $20,000 had pride in canadian democracy?"
0.3099,what percent of visible minorities had reported pride in the treatment of all groups in society?
0.2652,which group of people has much more positive terms regarding to the social security system? visible minorities or non-visible minorities?
0.5687,what percent of recent immigrants was proud of canada's economic achievements?
0.4719,what percent of non-citizens has pride in canadian democracy?
0.3713,which group of immigrants was less likely to positively view canada's health care system? immigrants with canadian citizen or non-citizens?
0.5233,what percent of pride in the canadian constitution was higher among citizens than non-citizens before 2000?
0.6671,what percent of canadian citizen is proud or very proud in sporting achievements recently?
0.4661,"during 2008, which club did vasiev play for, in the armenian premier league?"
0.3596,"in the 1973-74 season, which club did bobby smith sign in the fourth division?"
0.5513,"on the economic side, what percent of second generation immigrants were either proud or very proud of canada's accomplishments?"
0.4834,what percent of other non-immigrants is pround of canada's economic achievements?
0.495,"in 2036, which regions has the lowest overall participation rate?"
0.4934,what percent of canadians aged 15 and over indicated that they have a great deal or some confidence in police?
0.4225,"in 2013, what percent of canadians expressed a great deal or some confidence in the school system?"
0.3592,what percent of canadians had confidence in the media?
0.3968,"for the justice system and courts, how many percent of the proportion of aboriginal people who stated they had confidence was lower than for non-aboriginal people?"
0.2832,which region has reported the highest confidence in banks?
0.5281,what percent of residents of montreal had less confidence than average in police?
0.375,what percent of residents of sherbrooke had lower levels of confidence in banks?
0.4457,which group of people is more likely to rated police higher on promptly responding to calls? visible minorities or non-visible minorities.
0.4967,which group of people is more likely to rated police lower on the elements of policing involving interpersonal relationships - being approachable and easy to talk to and treating people fairly? visible minorities or non-visible minorities.
0.4112,which group of people is more likely to rated police lower on all of the six police performance measures ? aboriginal people or non-aboriginal people?
0.5415,what level of satisfaction for canadians who report a high level of satisfaction with their personal safety from crime rate police performance higher in all categories compared to those who are less satisfied?
0.4994,what percent of canadians who were very satisfied believed police are doing a good job enforcing the laws?
0.3957,hoa many rushing yards did rice finish the 2010 season with?
0.3435,how many touchdown did peterson have in 2011.
0.4506,how many seasons are before the 2015-16 philadelphia flyers season?
0.277,how many appearances did ronnie allen make for west brom in total?
0.1801,when did the airbus a320 family deliver the a318 in the first place?
0.3587,which region was leat favourable in their evaluation of local police.
0.5949,"as women made inroads in the labour market, what percent of their share of self-employment increased in a number of industries such as professional, scientific and technical services increased between 1987 and 2018?"
0.6105,"what percent of self-employed women's proportion has changed in the finance, insurance, real estate, rental and leasing services industry between 1987 and 2018?"
0.6658,"at the canada level, what is the percentage difference between the revised and unrevised population in 2013?"
0.5064,"at the provincial level, which year did manitoba experience the largest downward revisions of -1.2%?"
0.5806,"at the provincial level, which year did british columbia experience the largest downward revisions of -1.7%?"
0.6356,"at the provincial level, which year did newfoundland and labrador experience the largest upward revision of 3.2%?"
0.4977,list all the provinces that experienced downward revisions for all of the years.
0.5358,list all the provinces that experienced upward revisions for each of the years.
0.5504,the number of which kind of households was downwardly revised for all the years?
0.5617,the number of which kind of households was unchanged or upwardly revised for all the years?
0.4585,what were the households that witnessed relatively small changes all the years?
0.4754,which kind of households experienced a relatively larger change all the years.
0.557,the number of which kind of economic families observed little change in each of the years?
0.504,the number of which kind of economic families experienced consistently downward revisions in all of the years?
0.2747,whose number experienced consistently downward revisions in all of the years?
0.5205,what is the percentages of nhis respondents who agreed to data sharing and linkage were successfully linked to national mortality data?
0.5241,what is the percentages of shes respondents who agreed to data sharing and linkage were successfully linked to national mortality data?
0.5131,"among cchs respondents who successfully linked to national mortality data, how many deaths occurred during 1.8 million person-years of mortality follow-up?"
0.5113,"among nhis respondents who successfully linked to national mortality data,how many deaths occurred during almost half a million person-years of follow-up?"
0.4659,"among shes respondents who successfully linked to national mortality data,how many deaths occurred during 160,000 person-years of follow-up."
0.5783,list all the risk factors that women treated for hypertension has less than treated men.
0.6021,list all the risk factors that women treated for hypertensionthan has more than men treated for hypertensionthan.
0.5246,what types of medication were women treated for hypertension more likely to report using than treated men?
0.5272,what types of medication were women treated for hypertension less likely to report using than treated men?
0.3279,"along with league, what are the other games that barnsley f.c. compete in?"
0.2436,"in the 2018-19 season, which games did norwich city f.c. participate in?"
0.6866,"according to the 2017 csd,how many employees with disabilities aged 25 to 64 years required at least one workplace accomodations?"
0.6185,"according to the 2017 csd, how much does employees with disabilities aged 25 to 64 years required at least one workplace accomodations account for the number of disabled employees in canada?"
0.256,what was the most frequently required wpa?
0.4728,the need of modified hours or days or reduced work hours was met for how many percent of employees who required it?
0.3243,what was one of the least likely wpa to be made available to employees who required it?
0.2347,"which sex were more likely to require only one wpa, male or female?"
0.4374,employees with which kind of severity of disability were more likely to require only one wpa?
0.464,employees with how many disability types were more likely to require only one wpa?
0.2161,what were the occupations of employees who were more likely to require only one wpa?
0.2854,which sex were more likely to require three or more wpa?
0.4896,employees with which kind of severity of disability were more likely to require three or more wpa?
0.5071,employees with how many disability types were more likely to require three or more wpa ?
0.4862,which sex in second generation had higher university completion rates in all groups?
0.7059,list all the second generation groups that have high-skill occupations proportion larger than 40% in ovserved share.
0.6568,"what was the percent of men among third-plus generation whites that worked in high-skill occupations, according to ovserved share?"
0.6337,"what was the percent of women among third-plus generation whites that worked in high-skill occupations, according to ovserved share?"
0.5359,which second generations are more likely to work in high-skill occupations than third-plus generation?
0.3282,which second generations are similar or smaller than third-plus generation whites?
0.4855,how many passengers and crew were on the singapore airlines flight 006 aircraft?
0.2536,how many games appearances did jack del rio finish his career with?
0.3541,how many receptions did brown finish the 2015 nfl season with?
0.3751,list all the second generation minority groups that earned more than third-plus generation white men by ovserved.
0.3772,list all the second generation minority groups that earned less than third-plus generation white men by ovserved.
0.3665,which two second generation gtoups men had the lowest earnings by ovserved?
0.4797,how much more did chinese women earn than white women of the third-plus generation by ovserved?
0.4477,how much more did koreanwomen earn than white women of the third-plus generation by ovserved?
0.5374,what is the proportion second generation chinese women have earnings higher than third-plus generation white women after asjustment?
0.5691,"in 2014, how many percent of canadians aged 25 or older-1.3 million―reported one or more of the three mups conditions?"
0.6018,"in 2014, how many percent of canadians aged 25 or older reported chronic fatigue syndrome?"
0.6018,"in 2014, how many percent of canadians aged 25 or older reported chronic fatigue syndrome?"
0.4888,"in 2014, how many percent of canadians aged 25 or older reported multiple chemical sensitivity?"
0.4594,"in 2014, among canadian aged 25 or older, how many times were women more likely to report each disease than men?"
0.4629,what is the age group with the lowest overall prevalence of mups?
0.3374,"which education level is more likely to have chronic fatigue syndrome, individuals without postsecondary graduation or those with a postsecondary diploma or degree?"
0.3542,"which education level is more likely to have fibromyalgia, individuals without postsecondary graduation or those with a postsecondary diploma or degree?"
0.406,what was the percent of people in the lowest household income quintile that had chronic fatigue syndrome?
0.4327,what was the percent of people in the highest income quintile had chronic fatigue syndrome?
0.3503,how likely were divorced/separated/widowed individuals to report mups then those who were married/common-law ?
0.3957,"which race is more likely to report fibromyalgia, white canadians or non-white?"
0.5004,among which income quintile were asmrs highest for men across in 1991?
0.5109,among which income quintile were asmrs highest for men across in 1996?
0.4944,among which income quintile were asmrs highest for men across in 2001?
0.4934,among which income quintile were asmrs highest for men across in 2006?
0.4946,among which income quintile were asmrs highest for men across in 2011?
0.5055,among which income quintile were asmrs highest for women across in 1991?
0.5172,among which income quintile were asmrs highest for women across in 1996?
0.4969,among which income quintile were asmrs highest for women across in 2001?
0.4961,among which income quintile were asmrs highest for women across in 2006?
0.4951,among which income quintile were asmrs highest for women across in 2011?
0.5633,"which group has the lower rates of homeownership in toronto, resettled refugee families or canadian-born families?"
0.5524,"which group has the lower rates of homeownership in vancouver, resettled refugee families or canadian-born families?"
0.6315,what was the percentage of refugee families that owned residential property in vancouver in 2016?
0.5362,what was the percentage of canadian-born families that owned residential property in vancouver in 2016?
0.6499,what was the percentage of refugee families that owned residential property in toronto in 2016?
0.542,what was the percentage of canadian-born families that owned residential property in toronto in 2016?
0.5979,"in toronto, which group has higher rates of homeownership with income level of less than $25,000, among refugee families or canadian-born families?"
0.6034,"in toronto, which group has higher rates of homeownership with income level of $25,000 to $44,999, among refugee families or canadian-born families?"
0.6063,"in toronto, which group has higher rates of homeownership with income level of $45,000 to $64,999, among refugee families or canadian-born families?"
0.6092,"in toronto, which group has higher rates of homeownership with income level of $65,000 or more, among refugee families or canadian-born families?"
0.2573,"in 2014, how many receptions did cooper have?"
0.3325,which club did stefan moore join in the united counties league premier division in 2010-11?
0.3916,which club finished the 1999-2000 season in 17th place?
0.3627,which club did gezim shalaj move on to swiss challenge league for the 2009-10 season?
0.4426,"in 2014, what the total violent victimization rates outside the cmas and cas compare to those of the cmas?"
0.4486,"among the cmas with a releasable violent victimization rate, which area recorded the highest rate?"
0.4314,"among the cmas with a releasable violent victimization rate, which area had the second highest rate?"
0.4092,what was the rate of household victimization in the cmas compare to that recorded in the cas?
0.5412,"in 2014, which gender record a higher violent victimization, women or men?"
0.4472,how many times was the victimization rate of people who stated that they used drugs during the month preceding the survey than non-users?
0.532,what was the rate of violent victimization among people who reported using cannabis daily?
0.511,what was the rate of violent victimization among people who used drugs other than cannabis?
0.4546,"how many times was the victimization rate of people drinking episode-that is, at least five alcoholic drinks on a single occasion- during the month preceding the survey more than those who did not do so?"
0.4607,did people who drink alcohol frequently but not to the extent that their consumption would be considered binge drinking report higher than average rates of violent victimization?
0.4894,how many times was the victimization rate of people who reported more than 20 evening activities per month more than that of people who never went out in the evening?
0.587,how many times was the violent victimization rate of people who experienced child maltreatment more than that of people who did not experience such abuse?
0.4241,how many times was the victimization rate of people who had been homeless at some point in their lifetime more than people who had never been homeless?
0.5541,"which group has a higher rate of violent victimization, people who have social disorder in the neighbourhood or not?"
0.4269,how many per cent of the thefts of personal property were brought to the attention of the police in 2014?
0.5034,what was the proportion of incidents reported to police in 2004?
0.4998,what was the proportion of incidents reported to police in 2014?
0.575,"at ages 0 to 9, how many times the overall hospitalization rate for first nations children living on reserve was that for non-aboriginal children ?"
0.5786,"at ages 0 to 9, how many times the overall hospitalization rate for first nations living off reserve was that for non-aboriginal children ?"
0.5531,"at ages 0 to 9, how many times the overall hospitalization rate for metis was that for non-aboriginal children ?"
0.6215,"at ages 0 to 9, how many times the overall hospitalization rate for inuit in inuit nunangat was that for non-aboriginal children ?"
0.2992,"among 10- to 19-year-olds, which group had the highest overall hospitalization rate (including births)?"
0.6417,"among 10- to 19-year-olds, how many times the overall hospitalization rate for inuit in inuit nunangat was that for non-aboriginal youth ?"
0.5914,"among 10- to 19-year-olds,how many times the overall hospitalization rate for first nations youth living on reserve was that for non-aboriginal youth?"
0.5957,"among 10- to 19-year-olds,how many times the overall hospitalization rate for first nations youth living off reserve was that for non-aboriginal youth?"
0.5684,"among 10- to 19-year-olds,how many times the overall hospitalization rate for metis was that for non-aboriginal youth?"
0.5782,"when hospitalizations related to births were excluded, how many times the overall hospitalization rates at ages 10 to 19 for inuit was that for non-aboriginal youth?"
0.5468,"when hospitalizations related to births were excluded, how many times the overall hospitalization rates at ages 10 to 19 for first nations living on reserve was that for non-aboriginal youth?"
0.5495,"when hospitalizations related to births were excluded, how many times the overall hospitalization rates at ages 10 to 19 for first nations living off reserve was that for non-aboriginal youth?"
0.5309,"when hospitalizations related to births were excluded, how many times the overall hospitalization rates at ages 10 to 19 for metis was that for non-aboriginal youth?"
0.3974,"what is the result of biel's raced in the 800 m, where he finished eighth in heat?"
0.3845,what is the result of bailey's 100 m race during quarterfinal?
0.3291,which club did rever play for in the 2010 serie a season?
0.3527,"which club did vince hilaire join and make 255 league appearances, scoring 29 goals."
0.5062,"when it came to hunting, fishing or trapping for own use or own family's use, what was the proportion among youth and young adults?"
0.4866,"when it came to hunting, fishing or trapping for own use or own family's use, what was the proportion among working-age adults?"
0.4851,"what was the rate of hunting, fishing or trapping to share with others in the community among unemployed first nations people?"
